seqid	target_full_name	entrez_id	ensembl_gene_id	gene_name	chromosome	gene_start	gene_end	strand	gene_biotype	genome_build	is_primary_chromosome	mhc	somascan_is_multiple	menu_v4_0	menu_v4_1	menu_v5_0	mapping_status	mapping_source	somascan_db_version	coordinate_source	coordinate_source_url
10049-112	Telomeric repeat-binding factor 1	7013	ENSG00000147601	TERF1	8	73008398	73048123	1	protein_coding	GRCh38	TRUE	FALSE	0	1	1	1	mapped_to_ensembl	SomaScan.db	0.99.10	Ensembl BioMart hsapiens_gene_ensembl	https://www.ensembl.org/biomart/martservice
10053-5	Integrin-linked protein kinase	3611	ENSG00000166333	ILK	11	6603708	6610874	1	protein_coding	GRCh38	TRUE	FALSE	0	1	1	1	mapped_to_ensembl	SomaScan.db	0.99.10	Ensembl BioMart hsapiens_gene_ensembl	https://www.ensembl.org/biomart/martservice
10054-3	Gigaxonin	8139	ENSG00000261609	GAN	16	81314932	81390884	1	protein_coding	GRCh38	TRUE	FALSE	0	1	1	1	mapped_to_ensembl	SomaScan.db	0.99.10	Ensembl BioMart hsapiens_gene_ensembl	https://www.ensembl.org/biomart/martservice
10056-5	Forkhead box protein M1	2305	ENSG00000111206	FOXM1	12	2857676	2877197	-1	protein_coding	GRCh38	TRUE	FALSE	0	1	1	1	mapped_to_ensembl	SomaScan.db	0.99.10	Ensembl BioMart hsapiens_gene_ensembl	https://www.ensembl.org/biomart/martservice
10058-1	UV excision repair protein RAD23 homolog A	5886	ENSG00000179262	RAD23A	19	12945716	12953646	1	protein_coding	GRCh38	TRUE	FALSE	0	1	1	1	mapped_to_ensembl	SomaScan.db	0.99.10	Ensembl BioMart hsapiens_gene_ensembl	https://www.ensembl.org/biomart/martservice
10063-10	E3 ubiquitin-protein ligase FANCL	55120	ENSG00000115392	FANCL	2	58159243	58241410	-1	protein_coding	GRCh38	TRUE	FALSE	0	1	1	1	mapped_to_ensembl	SomaScan.db	0.99.10	Ensembl BioMart hsapiens_gene_ensembl	https://www.ensembl.org/biomart/martservice
10064-12	Putative hydrolase RBBP9	10741	ENSG00000089050	RBBP9	20	18486540	18497260	-1	protein_coding	GRCh38	TRUE	FALSE	0	1	1	1	mapped_to_ensembl	SomaScan.db	0.99.10	Ensembl BioMart hsapiens_gene_ensembl	https://www.ensembl.org/biomart/martservice
10069-2	Peptidyl-prolyl cis-trans isomerase NIMA-interacting 1	5300	ENSG00000127445	PIN1	19	9835257	9849690	1	protein_coding	GRCh38	TRUE	FALSE	0	0	1	1	mapped_to_ensembl	SomaScan.db	0.99.10	Ensembl BioMart hsapiens_gene_ensembl	https://www.ensembl.org/biomart/martservice
10070-22	1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase gamma-2	5336	ENSG00000197943	PLCG2	16	81738248	81962685	1	protein_coding	GRCh38	TRUE	FALSE	0	1	1	1	mapped_to_ensembl	SomaScan.db	0.99.10	Ensembl BioMart hsapiens_gene_ensembl	https://www.ensembl.org/biomart/martservice
10073-22	Tyrosyl-DNA phosphodiesterase 1	55775	ENSG00000042088	TDP1	14	89954939	90044820	1	protein_coding	GRCh38	TRUE	FALSE	0	1	1	1	mapped_to_ensembl	SomaScan.db	0.99.10	Ensembl BioMart hsapiens_gene_ensembl	https://www.ensembl.org/biomart/martservice
10074-128	Bromodomain-containing protein 2	6046	ENSG00000234507	BRD2	HSCHR6_MHC_COX_CTG1	4380869	4393720	1	protein_coding	GRCh38	FALSE	FALSE	0	1	1	1	mapped_to_ensembl	SomaScan.db	0.99.10	Ensembl BioMart hsapiens_gene_ensembl	https://www.ensembl.org/biomart/martservice
10074-128	Bromodomain-containing protein 2	6046	ENSG00000230678	BRD2	HSCHR6_MHC_DBB_CTG1	4221380	4225039	1	protein_coding	GRCh38	FALSE	FALSE	0	1	1	1	mapped_to_ensembl	SomaScan.db	0.99.10	Ensembl BioMart hsapiens_gene_ensembl	https://www.ensembl.org/biomart/martservice
10074-128	Bromodomain-containing protein 2	6046	ENSG00000234704	BRD2	HSCHR6_MHC_MANN_CTG1	4388044	4400883	1	protein_coding	GRCh38	FALSE	FALSE	0	1	1	1	mapped_to_ensembl	SomaScan.db	0.99.10	Ensembl BioMart hsapiens_gene_ensembl	https://www.ensembl.org/biomart/martservice
10074-128	Bromodomain-containing protein 2	6046	ENSG00000235307	BRD2	HSCHR6_MHC_SSTO_CTG1	4367907	4430762	1	protein_coding	GRCh38	FALSE	FALSE	0	1	1	1	mapped_to_ensembl	SomaScan.db	0.99.10	Ensembl BioMart hsapiens_gene_ensembl	https://www.ensembl.org/biomart/martservice
10074-128	Bromodomain-containing protein 2	6046	ENSG00000236227	BRD2	HSCHR6_MHC_MCF_CTG1	4267717	4278255	1	protein_coding	GRCh38	FALSE	FALSE	0	1	1	1	mapped_to_ensembl	SomaScan.db	0.99.10	Ensembl BioMart hsapiens_gene_ensembl	https://www.ensembl.org/biomart/martservice
10074-128	Bromodomain-containing protein 2	6046	ENSG00000215077	BRD2	HSCHR6_MHC_QBL_CTG1	4162985	4175823	1	protein_coding	GRCh38	FALSE	FALSE	0	1	1	1	mapped_to_ensembl	SomaScan.db	0.99.10	Ensembl BioMart hsapiens_gene_ensembl	https://www.ensembl.org/biomart/martservice
10074-128	Bromodomain-containing protein 2	6046	ENSG00000204256	BRD2	6	32968564	32981505	1	protein_coding	GRCh38	TRUE	TRUE	0	1	1	1	mapped_to_ensembl	SomaScan.db	0.99.10	Ensembl BioMart hsapiens_gene_ensembl	https://www.ensembl.org/biomart/martservice
10075-75	Acyl-CoA-binding domain-containing protein 6	84320	ENSG00000230124	ACBD6	1	180269653	180502954	-1	protein_coding	GRCh38	TRUE	FALSE	0	1	1	1	mapped_to_ensembl	SomaScan.db	0.99.10	Ensembl BioMart hsapiens_gene_ensembl	https://www.ensembl.org/biomart/martservice
10076-1	AP-4 complex subunit mu-1	9179	ENSG00000221838	AP4M1	7	100100841	100110345	1	protein_coding	GRCh38	TRUE	FALSE	0	1	1	1	mapped_to_ensembl	SomaScan.db	0.99.10	Ensembl BioMart hsapiens_gene_ensembl	https://www.ensembl.org/biomart/martservice
10078-5	BAG family molecular chaperone regulator 3	9531	ENSG00000151929	BAG3	10	119650879	119677913	1	protein_coding	GRCh38	TRUE	FALSE	0	1	1	1	mapped_to_ensembl	SomaScan.db	0.99.10	Ensembl BioMart hsapiens_gene_ensembl	https://www.ensembl.org/biomart/martservice
10080-9	Translation initiation factor eIF-2B subunit alpha	1967	ENSG00000111361	EIF2B1	12	123620406	123633766	-1	protein_coding	GRCh38	TRUE	FALSE	0	1	1	1	mapped_to_ensembl	SomaScan.db	0.99.10	Ensembl BioMart hsapiens_gene_ensembl	https://www.ensembl.org/biomart/martservice
10081-17	DNA-binding protein SATB2	23314	ENSG00000119042	SATB2	2	199268900	199471271	-1	protein_coding	GRCh38	TRUE	FALSE	0	1	1	1	mapped_to_ensembl	SomaScan.db	0.99.10	Ensembl BioMart hsapiens_gene_ensembl	https://www.ensembl.org/biomart/martservice
10082-251	Neurofilament light polypeptide	4747	ENSG00000277586	NEFL	8	24950955	24956721	-1	protein_coding	GRCh38	TRUE	FALSE	0	1	1	1	mapped_to_ensembl	SomaScan.db	0.99.10	Ensembl BioMart hsapiens_gene_ensembl	https://www.ensembl.org/biomart/martservice
10085-25	Steroidogenic acute regulatory protein, mitochondrial	6770	ENSG00000147465	STAR	8	38138571	38151102	-1	protein_coding	GRCh38	TRUE	FALSE	0	1	1	1	mapped_to_ensembl	SomaScan.db	0.99.10	Ensembl BioMart hsapiens_gene_ensembl	https://www.ensembl.org/biomart/martservice
10086-39	Cystathionine beta-synthase	875	ENSG00000160200	CBS	21	43050900	43076943	-1	protein_coding	GRCh38	TRUE	FALSE	0	1	1	1	mapped_to_ensembl	SomaScan.db	0.99.10	Ensembl BioMart hsapiens_gene_ensembl	https://www.ensembl.org/biomart/martservice
10087-10	Alpha-crystallin A chain	1409	ENSG00000160202	CRYAA	21	43169008	43172810	1	protein_coding	GRCh38	TRUE	FALSE	0	1	1	1	mapped_to_ensembl	SomaScan.db	0.99.10	Ensembl BioMart hsapiens_gene_ensembl	https://www.ensembl.org/biomart/martservice
10088-37	Adenine phosphoribosyltransferase	353	ENSG00000198931	APRT	16	88808323	88811970	-1	protein_coding	GRCh38	TRUE	FALSE	0	1	1	1	mapped_to_ensembl	SomaScan.db	0.99.10	Ensembl BioMart hsapiens_gene_ensembl	https://www.ensembl.org/biomart/martservice
10089-7	N-acetylserotonin O-methyltransferase-like protein	8623	ENSG00000292339	ASMTL	Y	1403126	1453786	-1	protein_coding	GRCh38	TRUE	FALSE	0	1	1	1	mapped_to_ensembl	SomaScan.db	0.99.10	Ensembl BioMart hsapiens_gene_ensembl	https://www.ensembl.org/biomart/martservice
10089-7	N-acetylserotonin O-methyltransferase-like protein	8623	ENSG00000169093	ASMTL	X	1403126	1453786	-1	protein_coding	GRCh38	TRUE	FALSE	0	1	1	1	mapped_to_ensembl	SomaScan.db	0.99.10	Ensembl BioMart hsapiens_gene_ensembl	https://www.ensembl.org/biomart/martservice
10336-3	E3 ubiquitin-protein ligase CHIP	10273	ENSG00000103266	STUB1	16	679980	682870	1	protein_coding	GRCh38	TRUE	FALSE	0	1	1	1	mapped_to_ensembl	SomaScan.db	0.99.10	Ensembl BioMart hsapiens_gene_ensembl	https://www.ensembl.org/biomart/martservice
10339-48	Gamma-enolase	2026	ENSG00000111674	ENO2	12	6913745	6923970	1	protein_coding	GRCh38	TRUE	FALSE	0	1	1	1	mapped_to_ensembl	SomaScan.db	0.99.10	Ensembl BioMart hsapiens_gene_ensembl	https://www.ensembl.org/biomart/martservice
10342-55	E3 SUMO-protein ligase PIAS4	51588	ENSG00000105229	PIAS4	19	4007690	4039386	1	protein_coding	GRCh38	TRUE	FALSE	0	1	1	1	mapped_to_ensembl	SomaScan.db	0.99.10	Ensembl BioMart hsapiens_gene_ensembl	https://www.ensembl.org/biomart/martservice
10344-334	Interleukin-10 receptor subunit alpha	3587	ENSG00000110324	IL10RA	11	117986370	118003037	1	protein_coding	GRCh38	TRUE	FALSE	0	1	1	1	mapped_to_ensembl	SomaScan.db	0.99.10	Ensembl BioMart hsapiens_gene_ensembl	https://www.ensembl.org/biomart/martservice
10346-5	Signal transducer and activator of transcription 3	6774	ENSG00000168610	STAT3	17	42313322	42388574	-1	protein_coding	GRCh38	TRUE	FALSE	0	1	1	1	mapped_to_ensembl	SomaScan.db	0.99.10	Ensembl BioMart hsapiens_gene_ensembl	https://www.ensembl.org/biomart/martservice
10351-51	Interferon regulatory factor 1	3659	ENSG00000125347	IRF1	5	132440440	132508719	-1	protein_coding	GRCh38	TRUE	FALSE	0	0	1	1	mapped_to_ensembl	SomaScan.db	0.99.10	Ensembl BioMart hsapiens_gene_ensembl	https://www.ensembl.org/biomart/martservice
10354-57	Signal transducer and activator of transcription 3	6774	ENSG00000168610	STAT3	17	42313322	42388574	-1	protein_coding	GRCh38	TRUE	FALSE	0	0	1	1	mapped_to_ensembl	SomaScan.db	0.99.10	Ensembl BioMart hsapiens_gene_ensembl	https://www.ensembl.org/biomart/martservice
10356-21	Transcription factor AP-1	3725	ENSG00000177606	JUN	1	58776845	58784048	-1	protein_coding	GRCh38	TRUE	FALSE	0	1	1	1	mapped_to_ensembl	SomaScan.db	0.99.10	Ensembl BioMart hsapiens_gene_ensembl	https://www.ensembl.org/biomart/martservice
10361-25	2'-5'-oligoadenylate synthase 1	4938	ENSG00000089127	OAS1	12	112905856	112933219	1	protein_coding	GRCh38	TRUE	FALSE	0	1	1	1	mapped_to_ensembl	SomaScan.db	0.99.10	Ensembl BioMart hsapiens_gene_ensembl	https://www.ensembl.org/biomart/martservice
10362-35	Myc proto-oncogene protein	4609	ENSG00000136997	MYC	8	127735434	127742951	1	protein_coding	GRCh38	TRUE	FALSE	0	1	1	1	mapped_to_ensembl	SomaScan.db	0.99.10	Ensembl BioMart hsapiens_gene_ensembl	https://www.ensembl.org/biomart/martservice
10363-13	Mothers against decapentaplegic homolog 3	4088	ENSG00000166949	SMAD3	15	67063763	67195173	1	protein_coding	GRCh38	TRUE	FALSE	0	1	1	1	mapped_to_ensembl	SomaScan.db	0.99.10	Ensembl BioMart hsapiens_gene_ensembl	https://www.ensembl.org/biomart/martservice
10364-6	Mothers against decapentaplegic homolog 2	4087	ENSG00000175387	SMAD2	18	47808957	47931569	-1	protein_coding	GRCh38	TRUE	FALSE	0	1	1	1	mapped_to_ensembl	SomaScan.db	0.99.10	Ensembl BioMart hsapiens_gene_ensembl	https://www.ensembl.org/biomart/martservice
10365-132	Interleukin-23	3593	ENSG00000113302	IL12B	5	159314780	159330863	-1	protein_coding	GRCh38	TRUE	FALSE	1	1	1	1	mapped_to_ensembl	SomaScan.db	0.99.10	Ensembl BioMart hsapiens_gene_ensembl	https://www.ensembl.org/biomart/martservice
10365-132	Interleukin-23	3593	ENSG00000113302	IL12B	5	159314780	159330863	-1	protein_coding	GRCh38	TRUE	FALSE	1	1	1	1	mapped_to_ensembl	SomaScan.db	0.99.10	Ensembl BioMart hsapiens_gene_ensembl	https://www.ensembl.org/biomart/martservice
10365-132	Interleukin-23	3593	ENSG00000113302	IL12B	5	159314780	159330863	-1	protein_coding	GRCh38	TRUE	FALSE	1	1	1	1	mapped_to_ensembl	SomaScan.db	0.99.10	Ensembl BioMart hsapiens_gene_ensembl	https://www.ensembl.org/biomart/martservice
10365-132	Interleukin-23	3593	ENSG00000113302	IL12B	5	159314780	159330863	-1	protein_coding	GRCh38	TRUE	FALSE	1	1	1	1	mapped_to_ensembl	SomaScan.db	0.99.10	Ensembl BioMart hsapiens_gene_ensembl	https://www.ensembl.org/biomart/martservice
10365-132	Interleukin-23	51561	ENSG00000110944	IL23A	12	56334174	56340410	1	protein_coding	GRCh38	TRUE	FALSE	1	1	1	1	mapped_to_ensembl	SomaScan.db	0.99.10	Ensembl BioMart hsapiens_gene_ensembl	https://www.ensembl.org/biomart/martservice
10365-132	Interleukin-23	51561	ENSG00000110944	IL23A	12	56334174	56340410	1	protein_coding	GRCh38	TRUE	FALSE	1	1	1	1	mapped_to_ensembl	SomaScan.db	0.99.10	Ensembl BioMart hsapiens_gene_ensembl	https://www.ensembl.org/biomart/martservice
10365-132	Interleukin-23	51561	ENSG00000110944	IL23A	12	56334174	56340410	1	protein_coding	GRCh38	TRUE	FALSE	1	1	1	1	mapped_to_ensembl	SomaScan.db	0.99.10	Ensembl BioMart hsapiens_gene_ensembl	https://www.ensembl.org/biomart/martservice
10365-132	Interleukin-23	51561	ENSG00000110944	IL23A	12	56334174	56340410	1	protein_coding	GRCh38	TRUE	FALSE	1	1	1	1	mapped_to_ensembl	SomaScan.db	0.99.10	Ensembl BioMart hsapiens_gene_ensembl	https://www.ensembl.org/biomart/martservice
10366-11	Platelet-derived growth factor receptor alpha	5156	ENSG00000134853	PDGFRA	4	54229130	54298246	1	protein_coding	GRCh38	TRUE	FALSE	0	1	1	1	mapped_to_ensembl	SomaScan.db	0.99.10	Ensembl BioMart hsapiens_gene_ensembl	https://www.ensembl.org/biomart/martservice
10367-62	Interleukin-12	3592	ENSG00000168811	IL12A	3	159988830	159996019	1	protein_coding	GRCh38	TRUE	FALSE	1	1	1	1	mapped_to_ensembl	SomaScan.db	0.99.10	Ensembl BioMart hsapiens_gene_ensembl	https://www.ensembl.org/biomart/martservice
10367-62	Interleukin-12	3592	ENSG00000168811	IL12A	3	159988830	159996019	1	protein_coding	GRCh38	TRUE	FALSE	1	1	1	1	mapped_to_ensembl	SomaScan.db	0.99.10	Ensembl BioMart hsapiens_gene_ensembl	https://www.ensembl.org/biomart/martservice
10367-62	Interleukin-12	3592	ENSG00000168811	IL12A	3	159988830	159996019	1	protein_coding	GRCh38	TRUE	FALSE	1	1	1	1	mapped_to_ensembl	SomaScan.db	0.99.10	Ensembl BioMart hsapiens_gene_ensembl	https://www.ensembl.org/biomart/martservice
10367-62	Interleukin-12	3592	ENSG00000168811	IL12A	3	159988830	159996019	1	protein_coding	GRCh38	TRUE	FALSE	1	1	1	1	mapped_to_ensembl	SomaScan.db	0.99.10	Ensembl BioMart hsapiens_gene_ensembl	https://www.ensembl.org/biomart/martservice
10367-62	Interleukin-12	3593	ENSG00000113302	IL12B	5	159314780	159330863	-1	protein_coding	GRCh38	TRUE	FALSE	1	1	1	1	mapped_to_ensembl	SomaScan.db	0.99.10	Ensembl BioMart hsapiens_gene_ensembl	https://www.ensembl.org/biomart/martservice
10367-62	Interleukin-12	3593	ENSG00000113302	IL12B	5	159314780	159330863	-1	protein_coding	GRCh38	TRUE	FALSE	1	1	1	1	mapped_to_ensembl	SomaScan.db	0.99.10	Ensembl BioMart hsapiens_gene_ensembl	https://www.ensembl.org/biomart/martservice
10367-62	Interleukin-12	3593	ENSG00000113302	IL12B	5	159314780	159330863	-1	protein_coding	GRCh38	TRUE	FALSE	1	1	1	1	mapped_to_ensembl	SomaScan.db	0.99.10	Ensembl BioMart hsapiens_gene_ensembl	https://www.ensembl.org/biomart/martservice
10367-62	Interleukin-12	3593	ENSG00000113302	IL12B	5	159314780	159330863	-1	protein_coding	GRCh38	TRUE	FALSE	1	1	1	1	mapped_to_ensembl	SomaScan.db	0.99.10	Ensembl BioMart hsapiens_gene_ensembl	https://www.ensembl.org/biomart/martservice
10370-21	Signal transducer and activator of transcription 1-alpha/beta	6772	ENSG00000115415	STAT1	2	190908460	191020960	-1	protein_coding	GRCh38	TRUE	FALSE	0	1	1	1	mapped_to_ensembl	SomaScan.db	0.99.10	Ensembl BioMart hsapiens_gene_ensembl	https://www.ensembl.org/biomart/martservice
10372-18	Signal transducer and activator of transcription 6	6778	ENSG00000166888	STAT6	12	57095403	57132139	-1	protein_coding	GRCh38	TRUE	FALSE	0	1	1	1	mapped_to_ensembl	SomaScan.db	0.99.10	Ensembl BioMart hsapiens_gene_ensembl	https://www.ensembl.org/biomart/martservice
10379-19	A disintegrin and metalloproteinase with thrombospondin motifs 1_MOUSE									GRCh38	FALSE	FALSE	0	0	1	1	no_entrez_id	SomaScan.db	0.99.10	Ensembl BioMart hsapiens_gene_ensembl	https://www.ensembl.org/biomart/martservice
10382-1	Angiopoietin-related protein 3	27329	ENSG00000132855	ANGPTL3	1	62597464	62607699	1	protein_coding	GRCh38	TRUE	FALSE	0	0	1	1	mapped_to_ensembl	SomaScan.db	0.99.10	Ensembl BioMart hsapiens_gene_ensembl	https://www.ensembl.org/biomart/martservice
