analysis_id	source_analysis_id	source_label	analysis_label	trait_ontology_label	trait_ontology_id	trait_ontology_mapping_method	source_file	source_url	source_category	source_reader_capability	source_bundle_id	checksum	checksum_algorithm	size_bytes	source_genome_build	license	publication_doi	publication_pmid	consortium	first_author	source_ancestry_label	assigned_ancestry	ancestry_assignment_method	original_effect_scale	original_sd	original_sd_method	stored_effect_scale	sample_size_kind	sample_size_scope	sample_size	n_cases	n_controls	analysis_group_id	inclusion_reason	exclude_from_build	ancestry_prop_AFR	ancestry_prop_AMR	ancestry_prop_EAS	ancestry_prop_EUR	ancestry_prop_MID	ancestry_prop_NAF	ancestry_prop_SAS
finngen-r13-PULM_INFECTIONS	PULM_INFECTIONS	COPD/asthma/ILD related infections	COPD/asthma/ILD related infections			unmapped	/data/opengwasdb/finngen-r13/releases/r13-pilot-20/source/finngen_R13_PULM_INFECTIONS.gz	https://storage.googleapis.com/finngen-public-data-r13/summary_stats/finngen_R13_PULM_INFECTIONS.gz	Interstitial lung disease endpoints	opengwasdb.finngen-r13		f9c796250042967e17c9d0b73e3fda9c09cf26072ecef8c5a4b5511e93bdd0d4	sha256	810296530	GRCh38	FinnGen public data			FinnGen		Finnish	EUR	af_assigned	log_or		binary_trait	log_or	case_control	analysis_level	500186	168980	331206	Interstitial lung disease endpoints	largest-case endpoint in its category; category retained among the 17 largest winners		0.0	0.0	0.01826097097543267	0.9817390290245673	0.0	0.0	0.0
finngen-r13-N14_FEMALEGENNONINF	N14_FEMALEGENNONINF	Noninflammatory disorders of female genital tract	Noninflammatory disorders of female genital tract			unmapped	/data/opengwasdb/finngen-r13/releases/r13-pilot-20/source/finngen_R13_N14_FEMALEGENNONINF.gz	https://storage.googleapis.com/finngen-public-data-r13/summary_stats/finngen_R13_N14_FEMALEGENNONINF.gz	XIV Diseases of the genitourinary system (N14_)	opengwasdb.finngen-r13		659f4453b79dbf257732c909ea72fcb361dbbd10bcb098ce33ef978e210728e1	sha256	808519899	GRCh38	FinnGen public data			FinnGen		Finnish	EUR	af_assigned	log_or		binary_trait	log_or	case_control	analysis_level	281909	159287	122622	XIV Diseases of the genitourinary system (N14_)	largest-case endpoint in its category; category retained among the 17 largest winners		0.0	0.0	0.018318132877666437	0.9816818671223335	0.0	0.0	0.0
finngen-r13-ANTIDEPRESSANTS	ANTIDEPRESSANTS	Depression medications	Depression medications			unmapped	/data/opengwasdb/finngen-r13/releases/r13-pilot-20/source/finngen_R13_ANTIDEPRESSANTS.gz	https://storage.googleapis.com/finngen-public-data-r13/summary_stats/finngen_R13_ANTIDEPRESSANTS.gz	Comorbidities of Neurological endpoints	opengwasdb.finngen-r13		3f9f852d7d59526a02a164c009b5d6d125f6beaffab1dd169965b1d230a94dc8	sha256	808401578	GRCh38	FinnGen public data			FinnGen		Finnish	EUR	af_assigned	log_or		binary_trait	log_or	case_control	analysis_level	260016	157103	102913	Comorbidities of Neurological endpoints	largest-case endpoint in its category; category retained among the 17 largest winners		0.0	0.0	0.018446480508762055	0.9815535194912379	0.0	0.0	0.0
finngen-r13-O15_DELIV_SPONT	O15_DELIV_SPONT	Single spontaneous delivery	Single spontaneous delivery			unmapped	/data/opengwasdb/finngen-r13/releases/r13-pilot-20/source/finngen_R13_O15_DELIV_SPONT.gz	https://storage.googleapis.com/finngen-public-data-r13/summary_stats/finngen_R13_O15_DELIV_SPONT.gz	XV Pregnancy, childbirth and the puerperium (O15_)	opengwasdb.finngen-r13		c4e9531f1c7ad6ea99d704d1f055831168033d5ded15e8b982063994cc206869	sha256	808278136	GRCh38	FinnGen public data			FinnGen		Finnish	EUR	af_assigned	log_or		binary_trait	log_or	case_control	analysis_level	264231	146565	117666	XV Pregnancy, childbirth and the puerperium (O15_)	largest-case endpoint in its category; category retained among the 17 largest winners		0.0	0.0	0.01826977055175216	0.981730229448248	0.0	0.0	0.0
finngen-r13-KRA_PSY_ANYMENTAL	KRA_PSY_ANYMENTAL	Any mental disorder	Any mental disorder			unmapped	/data/opengwasdb/finngen-r13/releases/r13-pilot-20/source/finngen_R13_KRA_PSY_ANYMENTAL.gz	https://storage.googleapis.com/finngen-public-data-r13/summary_stats/finngen_R13_KRA_PSY_ANYMENTAL.gz	Psychiatric endpoints from Katri Räikkönen	opengwasdb.finngen-r13		731a579775e2305c093326450cc3a428344342740934033c4197e0273aa9cf89	sha256	811320643	GRCh38	FinnGen public data			FinnGen		Finnish	EUR	af_assigned	log_or		binary_trait	log_or	case_control	analysis_level	500186	144890	355296	Psychiatric endpoints from Katri Räikkönen	largest-case endpoint in its category; category retained among the 17 largest winners		0.0	0.0	0.01826097097543267	0.9817390290245673	0.0	0.0	0.0
finngen-r13-CD2_BENIGN	CD2_BENIGN	Benign neoplasms	Benign neoplasms			unmapped	/data/opengwasdb/finngen-r13/releases/r13-pilot-20/source/finngen_R13_CD2_BENIGN.gz	https://storage.googleapis.com/finngen-public-data-r13/summary_stats/finngen_R13_CD2_BENIGN.gz	II Neoplasms from hospital discharges (CD2_)	opengwasdb.finngen-r13		58bcde7b7f0fd8efd5e88860aeba806d073d0d232ebf6c84b9f0eb3b29600a89	sha256	810402103	GRCh38	FinnGen public data			FinnGen		Finnish	EUR	af_assigned	log_or		binary_trait	log_or	case_control	analysis_level	500186	142938	357248	II Neoplasms from hospital discharges (CD2_)	largest-case endpoint in its category; category retained among the 17 largest winners		0.0	0.0	0.01826097097543267	0.9817390290245673	0.0	0.0	0.0
finngen-r13-G6_EPIPAROX	G6_EPIPAROX	Episodal and paroxysmal disorders	Episodal and paroxysmal disorders			unmapped	/data/opengwasdb/finngen-r13/releases/r13-pilot-20/source/finngen_R13_G6_EPIPAROX.gz	https://storage.googleapis.com/finngen-public-data-r13/summary_stats/finngen_R13_G6_EPIPAROX.gz	VI Diseases of the nervous system (G6_)	opengwasdb.finngen-r13		ca4b9ea558fce3a96e5d5eafb6dfc0cd50e18001be80d85d35d2da7d8edf8883	sha256	810615212	GRCh38	FinnGen public data			FinnGen		Finnish	EUR	af_assigned	log_or		binary_trait	log_or	case_control	analysis_level	500186	133630	366556	VI Diseases of the nervous system (G6_)	largest-case endpoint in its category; category retained among the 17 largest winners		0.0	0.0	0.01826097097543267	0.9817390290245673	0.0	0.0	0.0
finngen-r13-AUTOIMMUNE	AUTOIMMUNE	Autoimmune diseases	Autoimmune diseases			unmapped	/data/opengwasdb/finngen-r13/releases/r13-pilot-20/source/finngen_R13_AUTOIMMUNE.gz	https://storage.googleapis.com/finngen-public-data-r13/summary_stats/finngen_R13_AUTOIMMUNE.gz	Diseases marked as autimmune origin	opengwasdb.finngen-r13		46797da03eb1888023ff168867dd3add7b35ae4f820dc380824206a1872aceb9	sha256	810559695	GRCh38	FinnGen public data			FinnGen		Finnish	EUR	af_assigned	log_or		binary_trait	log_or	case_control	analysis_level	500186	131428	368758	Diseases marked as autimmune origin	largest-case endpoint in its category; category retained among the 17 largest winners		0.0	0.0	0.01826097097543267	0.9817390290245673	0.0	0.0	0.0
finngen-r13-J10_UPPERDIS	J10_UPPERDIS	Other diseases of upper respiratory tract	Other diseases of upper respiratory tract			unmapped	/data/opengwasdb/finngen-r13/releases/r13-pilot-20/source/finngen_R13_J10_UPPERDIS.gz	https://storage.googleapis.com/finngen-public-data-r13/summary_stats/finngen_R13_J10_UPPERDIS.gz	X Diseases of the respiratory system (J10_)	opengwasdb.finngen-r13		fb48c0d6473a5d0a64bdb1cce42a60e2996febc1c62a2a92ceff52353635a18c	sha256	810536207	GRCh38	FinnGen public data			FinnGen		Finnish	EUR	af_assigned	log_or		binary_trait	log_or	case_control	analysis_level	500186	131136	369050	X Diseases of the respiratory system (J10_)	largest-case endpoint in its category; category retained among the 17 largest winners		0.0	0.0	0.01826097097543267	0.9817390290245673	0.0	0.0	0.0
finngen-r13-C3_CANCER_WIDE	C3_CANCER_WIDE	Malignant neoplasm, wide definition for exclusion	Malignant neoplasm, wide definition for exclusion			unmapped	/data/opengwasdb/finngen-r13/releases/r13-pilot-20/source/finngen_R13_C3_CANCER_WIDE.gz	https://storage.googleapis.com/finngen-public-data-r13/summary_stats/finngen_R13_C3_CANCER_WIDE.gz	II Neoplasms, from cancer register (ICD-O-3)	opengwasdb.finngen-r13		f708dc3783702d663bb5770b3e711492b677dff31cecf44fdc4af985994fcb57	sha256	811531469	GRCh38	FinnGen public data			FinnGen		Finnish	EUR	af_assigned	log_or		binary_trait	log_or	case_control	analysis_level	500186	128001	372185	II Neoplasms, from cancer register (ICD-O-3)	largest-case endpoint in its category; category retained among the 17 largest winners		0.0	0.0	0.01826097097543267	0.9817390290245673	0.0	0.0	0.0
